Gene,log2FoldChange,pvalue,adj_pvalue
TPSG1,-3.126257338674836,6.352058861758828e-82,1.0817556241575284e-77
RABEP1,-1.5461716075566567,9.434222352457282e-74,8.033240333117375e-70
TUBA3E,-3.0315069989395544,1.6090793340479308e-72,9.134207019612086e-69
KRT37,-1.8907173363182905,3.747235125573703e-72,1.5953853547130041e-68
C6orf211,-2.097727481245826,1.1624147016847497e-71,3.959184473938258e-68
SLC16A6,-3.4483249401044738,5.362766632410238e-69,1.5221319291657724e-65
NAT1,-4.083664647892856,8.067316540665118e-68,1.9626628669646708e-64
UBE2E3,1.5462221829464635,1.261584620830065e-67,2.6855982615920007e-64
FSIP1,-4.704536471466164,1.9913597736600206e-67,3.7680952161589055e-64
CYP2B7P1,-6.309559078590786,4.1700761298417016e-66,7.101639649120419e-63
FLJ46111,-1.7032733631829073,5.01049176313359e-65,7.757152247833186e-62
SLC39A6,-2.556731479517694,1.5693921222935853e-64,2.227228986888313e-61
C1orf64,-6.044412458269512,1.5405147525673067e-63,2.018074325863172e-60
CT62,-3.8887105259023604,1.699431008444022e-63,2.0672364338429783e-60
TCEAL1,-1.600428828404226,3.8415714553287925e-63,4.361464125616622e-60
ESR1,-6.052027493028554,6.229927938048418e-63,6.630979549060286e-60
CXADRP3,-2.585254121990495,1.627737369351106e-62,1.6306098470617257e-59
BCL11A,4.069544193079612,3.984404899471443e-62,3.7696897465554816e-59
LOC145837,-4.108734177762068,8.121416722095976e-62,7.279354040910235e-59
TBC1D9,-3.3890868858253818,9.582798366562085e-62,8.159752809127615e-59
SYT9,-4.450823019520049,2.6183078848449038e-61,2.1233230132813673e-58
GPR77,-3.2905382192372645,5.681246591295438e-61,4.397801338625515e-58
AGR3,-7.424458065276306,4.257698832683941e-60,3.1525483095916313e-57
LOC389033,-2.232544511213228,8.558226876871608e-60,6.072775154713478e-57
SLC7A13,-2.0007835630965003,1.3915296944600267e-59,9.479100278661702e-57
C20orf26,-2.5640964769647687,2.393745137579096e-59,1.5679030651143078e-56
LOC100130148,-2.631711535289266,4.062189136423875e-59,2.562188184936985e-56
KCNJ3,-4.6146916774674995,1.4096449848888048e-58,8.379654669882555e-56
TMPRSS6,-3.535611676681986,1.4269523513011984e-58,8.379654669882555e-56
TPRG1,-3.597403091001924,1.4856715830529583e-58,8.433662353130627e-56
PSAT1,4.007969608420724,4.174067551771392e-58,2.2930442066666713e-55
