,Random Forest,ExtraTrees,XGBoost,CatBoost,Models Supporting
CA12,True,False,True,True,3
FOXC1,False,True,True,True,3
FOXA1,True,True,True,False,3
ESR1,True,False,True,True,3
DNALI1,True,True,False,False,2
B3GNT5,False,True,True,False,2
GATA3,False,True,True,False,2
HAPLN3,True,False,False,True,2
TBC1D9,False,False,True,True,2
UGT8,True,True,False,False,2
PRR15,False,True,False,True,2
WNT6,False,True,False,True,2
C17orf28,False,True,False,False,1
C1QL2,False,False,False,True,1
C6orf211,True,False,False,False,1
AR,False,True,False,False,1
CD300LG,False,False,True,False,1
CACNA2D2,True,False,False,False,1
C8orf46,False,True,False,False,1
C6orf97,False,False,False,True,1
C1orf64,True,False,False,False,1
DEGS2,True,False,False,False,1
CKS2,False,False,False,True,1
COX7B,False,False,True,False,1
ERBB2,False,False,True,False,1
DZIP1,False,False,False,True,1
DACH1,False,True,False,False,1
ABCC8,True,False,False,False,1
ARSG,False,True,False,False,1
BBS1,False,False,True,False,1
BPI,False,False,False,True,1
AGR2,False,False,False,True,1
GABRP,True,False,False,False,1
FSIP1,False,False,False,True,1
FAM171A1,True,False,False,False,1
FAM48A,False,False,True,False,1
ESYT3,True,False,False,False,1
IFRD1,False,False,True,False,1
GRB7,False,False,True,False,1
GPR160,True,False,False,False,1
LCT,False,False,True,False,1
LEMD1,False,True,False,False,1
MYB,False,False,False,True,1
MICALL1,False,False,False,True,1
PPP1R14C,False,False,True,False,1
INPP4B,True,False,False,False,1
KRT83,False,False,True,False,1
HPDL,False,False,True,False,1
RND1,False,True,False,False,1
RASGEF1C,False,True,False,False,1
RABEP1,False,False,False,True,1
ROPN1,False,True,False,False,1
SOX10,True,False,False,False,1
SPDEF,True,False,False,False,1
SDR42E1,False,False,True,False,1
S100B,False,False,False,True,1
TMEM217,False,False,False,True,1
STAC,False,True,False,False,1
VGLL1,False,True,False,False,1
TTYH1,True,False,False,False,1
VPS37B,False,False,False,True,1
XBP1,True,False,False,False,1
ZMYND10,False,True,False,False,1
ZNF839,False,False,True,False,1
