Gene,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
ESR1,0.576923076923077,0.3281245421245421,0.5848806366047745,0.43356628700515815
FOXA1,0.42307692307692313,0.07909890109890111,0.513986013986014,0.4158964358297484
GATA3,0.34615384615384615,0.10414652014652015,0.513986013986014,0.3561265532471723
ERBB2,0.34615384615384615,0.12210989010989012,0.513986013986014,0.3483984601662705
AGR2,0.19230769230769232,0.015076923076923078,0.3944543828264758,0.21331018161769993
AR,0.19230769230769232,0.01584615384615385,0.4349112426035503,0.2567931872528465
XBP1,0.15384615384615385,0.002087912087912088,0.41369606003752346,0.21576374643307342
FOXC1,0.15384615384615385,0.0,0.4240384615384616,0.2363061872493657
GRB7,0.15384615384615385,0.01682051282051282,0.4240384615384616,0.19471075444643055
SOX10,0.15384615384615385,0.12,0.36872909698996653,0.1123280232126023
INPP4B,0.15384615384615385,0.005047619047619048,0.3769230769230769,0.2028122392000977
SPDEF,0.11538461538461539,0.0010256410256410256,0.332579185520362,0.13472810671195054
ARMT1,0.11538461538461539,0.0029230769230769228,0.3769230769230769,0.14249406668231182
RND1,0.07692307692307693,0.0,0.32618343195266275,0.08258746648898342
CCDC170,0.07692307692307693,0.0,0.35336538461538464,0.08759881292088659
ZMYND10,0.07692307692307693,0.003076923076923077,0.07692307692307693,3.4358972081856376e-07
MYB,0.07692307692307693,0.0,0.3854895104895105,0.12008451453829408
CA12,0.038461538461538464,0.0,0.34615384615384615,0.06593042315111045
ROPN1,0.038461538461538464,0.0,0.256993006993007,0.017081181827763026
DNALI1,0.038461538461538464,0.0,0.05128205128205128,2.4295462159104754e-07
CACNA2D2,0.038461538461538464,0.0,0.05128205128205128,2.4295462159104754e-07
S100B,0.038461538461538464,0.0,0.256993006993007,0.017081181827763026
FSIP1,0.038461538461538464,0.0,0.34615384615384615,0.06593042315111045
DEGS2,0.038461538461538464,0.0,0.038461538461538464,2.974035832870897e-08
UGT8,0.038461538461538464,0.0,0.038461538461538464,2.974035832870897e-08
TBC1D9,0.038461538461538464,0.0,0.34615384615384615,0.06593042315111045
DACH1,0.038461538461538464,0.0,0.34615384615384615,0.06593042315111045
