Gene,Mean SHAP Value
FOXA1,0.0035564437159912865
GABRP,0.0032812439017247635
ESR1,0.0030106470204653863
CA12,0.002950758904130013
XBP1,0.002674780420363345
ESYT3,0.002463192932773868
GPR77,0.0024452293487865037
PRR15,0.0023221538571375827
THSD4,0.002235015684217011
GATA3,0.0022241148710789296
HAPLN3,0.0022186711762541287
PPP1R14C,0.002213964978485297
DNALI1,0.0021762902381205814
FAM171A1,0.0021576473197004657
CDK2AP1,0.002058090467937335
SPDEF,0.0020116672152264902
TTYH1,0.0019820366255713703
GPR160,0.0019084153777274
ANXA9,0.0019026929899372787
TBC1D9,0.0018614042466847008
UGT8,0.0018584382808083165
KCNJ11,0.0018381279043523492
DEGS2,0.0017178878902530804
CACNA2D2,0.001695434066347988
CMBL,0.0016796860930279275
INPP4B,0.0016298487699074927
TFF1,0.0016051863196882492
MLPH,0.0015992308944794101
CXXC5,0.0015638612405249317
MYB,0.0015102996151569196
CCNE1,0.001435695957937875
C1orf64,0.0014302732938999334
ZNF552,0.001411158696765089
VGLL1,0.0014072880612842615
C6orf211,0.001404880736796303
TTLL4,0.0014006394995263048
FOXC1,0.0013959849314399576
TCEAL1,0.0013862063658390737
FSIP1,0.0013774474069545692
SOX10,0.0013734014214180728
KLK5,0.001355174915582757
ROPN1,0.0013206379317691839
RABEP1,0.001313347979868415
SLC39A6,0.0012863043206650163
ABCC8,0.0012793105081702516
SYTL5,0.0012789896820916428
ARSG,0.0012518077966556798
BPI,0.001250039942087504
NCK2,0.001234887367989768
SLC7A13,0.0012075111751489124
TFF3,0.0011934780366055016
CHODL,0.0011917022580669274
CLCN4,0.001167049847167139
LIMA1,0.00115428574386119
WWP1,0.0011542288391609868
SFRP1,0.0011293604429545986
ATP8B1,0.0011108734871846425
SLC43A3,0.0010965939340148417
TMBIM6,0.0010949947819179694
RGMA,0.0010938221253852212
BBS4,0.0010852477507120875
RARA,0.0010530856570556773
SLC16A6,0.001046156815617621
MAP2,0.0010333858678830165
COL11A2,0.00102225574951437
MICALL1,0.0009710455460996565
SLC7A8,0.0009707829716316476
B3GNT5,0.0009704827621656153
C4orf34,0.0009620039881416219
CT62,0.0009540454929059756
AR,0.0009474254750207648
MCCC2,0.0009427348731334512
NUDT12,0.0009402064777654355
F7,0.0009323995166690984
TTC36,0.0009266467382928828
C9orf170,0.0009246720344722323
INPP5J,0.0009128058740229469
SLC26A9,0.0009062714597633865
C5orf30,0.0008988573235911355
PAPSS1,0.000872068004280022
KIAA1370,0.0008327069247358878
CENPA,0.0008162403102563204
ELOVL5,0.0008099513363602517
ANKRD30B,0.00079661981861501
BCAS1,0.000788458923982683
ELF5,0.0007835209450215487
SCHIP1,0.0007670281760576072
C5orf36,0.0007665430750344854
CCDC82,0.0007605062371310046
RHBDL2,0.0007403953760561082
ATL2,0.0007351194393157632
PEX11A,0.0007244375386470961
BCL11A,0.0007240996026572607
MAGED2,0.0007198165853025122
DACH1,0.0007165150794843103
C17orf28,0.0007017697673278779
TPSG1,0.000692747292147723
IFRD1,0.0006796879109136413
WFS1,0.0006726492523362128
IVD,0.000668330191289355
SYTL4,0.0006667003775084593
MMP7,0.0006641734620032548
LEMD1,0.0006637111327176341
RNASEH1,0.000660239879755636
TTC8,0.0006568618871765335
PADI2,0.0006527846953856306
YBX1,0.0006519489736184694
ATP6V1C2,0.0006463859932538017
CSTB,0.0006454268342876835
KRT83,0.0006450114053086367
BTG3,0.0006412658012644749
MREG,0.0006398420993648738
CRYAB,0.0006348618002326609
CDCA2,0.0006328510633531006
LRIG1,0.0006326488499430995
CYP4Z2P,0.0006236640444925005
ENPP1,0.0006160264396166172
TCF7L1,0.0006144902297321377
GP2,0.0006139617581465544
CENPW,0.0006121780762859114
CCDC125,0.0006071794724262274
FBN3,0.000605023991761715
ERGIC1,0.000603233230859907
MSN,0.0005979423399934303
PRTFDC1,0.000594069686888814
C9orf40,0.0005922767189321516
EN1,0.0005877818021887655
UBE2E3,0.0005818936762516367
GUSBL2,0.0005752685999566532
FAM174A,0.0005678591983659627
TLE3,0.0005583357733403376
SLC22A5,0.000550972293192285
GFRA1,0.0005499266082142255
CYP2B7P1,0.0005483289149231759
STAC,0.0005436301892261979
GALNT7,0.0005365228832714277
IL34,0.0005347332033173962
CSDAP1,0.0005344867634003265
TSPAN13,0.0005304571651298442
LRRC50,0.0005269749631895016
C11orf75,0.0005196887697461601
KRT37,0.000519361127696328
BBS1,0.0005152712803560755
DSC2,0.0005060104697319512
CLSTN2,0.0005043100248622089
SLC44A4,0.0005038390457155227
AFF3,0.0005023017466231022
PGR,0.0005014445198474589
TTK,0.0004960464024608481
SPRYD3,0.0004934153811218635
S100B,0.0004891087617776014
IFT140,0.0004882835369270533
TBX19,0.00048439638590793864
PPP1CB,0.00048398196231303896
GFRA3,0.0004830146612543073
ODC1,0.0004819059768772063
RND1,0.0004805447027185799
ETV6,0.00047615629466139136
TMCC2,0.00047490136257023595
RPIA,0.0004746933685294988
REEP5,0.00047326297408895854
LEO1,0.00047009825181300806
DZIP1,0.0004695481020093561
LOC100127888,0.0004688504451855717
ZIC4,0.00046554228625079785
C9orf64,0.00046167037134786144
LOC100130148,0.00046113387791997946
KCNQ4,0.0004582963665990252
LDLRAD1,0.0004562872929161417
RHOB,0.00045552828957838966
RAB30,0.00045526220662754093
BYSL,0.0004549886717413949
PEX19,0.00044953590239700785
APBB2,0.00044871952883769855
PM20D2,0.0004429695084502462
RAB27B,0.00044193073424607626
YEATS2,0.00044116444767411595
KLK8,0.0004398397624010857
FMNL2,0.000438020631491184
COMMD2,0.00043083034670864416
CDK17,0.00043047519871037735
KCNK5,0.00042852249679734445
NCAPD2,0.00042707732627556786
RERG,0.00042593474603058447
GPR12,0.00042391348619545466
CDC20,0.00042334557436271727
SLC25A37,0.0004228634580203058
PELI1,0.0004210413043486934
CDC42EP1,0.0004196234914092205
STARD10,0.00041252519813465214
RRP1,0.00041210322078107174
RARRES1,0.0004093703827544737
TMEM135,0.0004068757281203325
C10orf111,0.00040679937332951233
C9orf152,0.00040671370264999934
C6orf15,0.0004057122112179355
C6orf150,0.0004051966837917192
PNMA3,0.00040427929455125156
TRIM3,0.0004032933253012144
CCKBR,0.00040107688649430347
SUOX,0.0003978257369993763
FBP1,0.0003978163546556138
PSAT1,0.00039115054167703986
