Gene,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
ESR1,0.576923076923077,0.3281245421245421,0.5848806366047745,0.43356628700515815
FOXA1,0.42307692307692313,0.07909890109890111,0.513986013986014,0.4158964358297484
GATA3,0.34615384615384615,0.10414652014652015,0.513986013986014,0.3561265532471723
ERBB2,0.34615384615384615,0.12210989010989012,0.513986013986014,0.3483984601662705
AGR2,0.19230769230769232,0.015076923076923078,0.3944543828264758,0.21331018161769993
AR,0.19230769230769232,0.01584615384615385,0.4349112426035503,0.2567931872528465
XBP1,0.15384615384615385,0.002087912087912088,0.41369606003752346,0.21576374643307342
FOXC1,0.15384615384615385,0.0,0.4240384615384616,0.2363061872493657
GRB7,0.15384615384615385,0.01682051282051282,0.4240384615384616,0.19471075444643055
SOX10,0.15384615384615385,0.12,0.36872909698996653,0.1123280232126023
